Wall time,Step,Value
1496650326.2336593,57144,2.7244598865509033
1496658298.0591502,114288,2.3930022716522217
1496666262.0856194,171432,2.486010789871216
1496674220.540178,228576,2.1425130367279053
1496682190.1162252,285720,2.118011951446533
1496690163.4217129,342864,2.0705010890960693
1496698132.8220043,400008,1.919271469116211
1496706104.413671,457152,1.851314663887024
1496714078.183778,514296,1.7696119546890259
1496722054.6065814,571440,1.7043497562408447
1496730039.8389356,628584,1.6637146472930908
1496738020.550376,685728,1.7094669342041016
1496745997.7607067,742872,1.5737074613571167
1496753972.4000714,800016,1.467236876487732
1496761955.2725346,857160,1.3036093711853027
1496769929.6842322,914304,1.211727261543274
1496777902.118177,971448,1.1965057849884033
1496785873.3265193,1028592,1.0600533485412598
1496793848.4737413,1085736,1.0279958248138428
1496801822.8187134,1142880,0.9409742951393127
